100,2025-05-24 09:52:10.204315
0,2025-05-24 09:52:18.715878
10,2025-05-24 10:13:08.687802
0,2025-05-24 10:18:06.005137
0,2025-05-24 10:18:10.892156
0,2025-05-24 10:18:16.220039
10,2025-05-24 10:20:04.355370
20,2025-05-24 10:24:41.343393
70,2025-05-24 10:33:40.740410
0,2025-05-24 10:33:48.540087
20010,2025-05-24 10:34:46.180190
20000,2025-05-24 10:35:28.062836
30,2025-05-24 10:36:07.513223
0,2025-05-24 10:36:12.575496
30,2025-05-24 10:36:31.455060
999999999999999999999999999999999999999999999999999999999999,2025-05-24 10:36:44.519280
10,2025-05-24 10:38:33.524399
